Posicao;Codigo;Total;IPTS (%);Energia Injetada;Perda Propria
mar/21;MAZ  0115;149,047;4,635;3.215,70;24,943
mar/21;MAZ  0107;209,336;6,004;3.486,46;81,898
mar/21;MAZ  0102;198,034;4,323;4.580,88;42,174
mar/21;MAZ  0109;356,388;7,481;4.763,91;170,822
mar/21;MAZ  0105;199,409;5,058;3.942,77;38,641
mar/21;MAZ  0106;424,518;7,54;5.630,27;201,914
mar/21;EMB  0101;0;0;0;0
mar/21;EMB  0100;0;0;0;0
mar/21;EMB  0111;40,462;4,512;896,806;1,75
mar/21;EMB  0112;213,45;6,183;3.452,33;28,001
mar/21;EMB  0104;116,688;5,603;2.082,68;16,989
mar/21;EMB  0103;119,469;4,689;2.547,80;24,862
mar/21;EMB  0110;138,421;6,089;2.273,39;22,145
mar/21;EMB  0108;143,94;4,83;2.980,40;37,515
mar/21;EMB  0113;153,033;4,935;3.101,12;52,975
mar/21;EMB  0102;218,229;6,123;3.564,22;72,667
mar/21;EMB  0105;177,036;5,222;3.390,28;48,896
mar/21;EMB  0114;225,292;5,738;3.926,37;80,345
mar/21;EMB  0115;304,732;6,351;4.798,53;79,422
mar/21;EMB  0107;390,79;7,076;5.522,52;218,475
mar/21;EMB  0109;406,844;6,374;6.382,46;144,336
mar/21;EMB  0106;337,993;6,438;5.249,75;182,361
abr/21;MAZ  0101;0;0;0;0
abr/21;MAZ  0100;0;0;0;0
abr/21;MAZ  0112;48,394;3,901;1.240,66;5,304
abr/21;MAZ  0114;122,671;4,626;2.651,62;21,603
abr/21;MAZ  0113;168,053;5,414;3.104,19;41,492
abr/21;MAZ  0108;162,263;5,678;2.858,00;38,844
abr/21;MAZ  0111;111,439;3,953;2.818,91;20,521
abr/21;MAZ  0104;103,252;4,791;2.155,09;17,058
abr/21;MAZ  0110;149,346;5,372;2.780,27;20,865
abr/21;MAZ  0103;115,865;4,312;2.687,29;15,282
abr/21;MAZ  0115;135,688;4,646;2.920,51;22,216
abr/21;MAZ  0107;200,005;6,125;3.265,15;76,177
abr/21;MAZ  0102;182,116;4,409;4.130,10;36,077
abr/21;MAZ  0109;319,268;7,305;4.370,54;152,84
abr/21;MAZ  0105;188,028;5,217;3.604,09;36,499
abr/21;MAZ  0106;385,453;7,448;5.175,58;181,961
abr/21;EMB  0101;0;0;0;0
abr/21;EMB  0100;0;0;0;0
abr/21;EMB  0111;37,075;4,492;825,301;1,597
abr/21;EMB  0112;185,645;5,969;3.110,34;23,967
abr/21;EMB  0104;102,574;5,529;1.855,27;14,835
abr/21;EMB  0103;108,419;4,632;2.340,82;22,428
abr/21;EMB  0110;98,506;5,006;1.967,90;17,717
abr/21;EMB  0108;150,933;5,55;2.719,69;35,978
abr/21;EMB  0113;137,123;4,915;2.790,00;46,549
abr/21;EMB  0102;213,629;6,491;3.290,98;66,872
abr/21;EMB  0105;155,911;5,14;3.033,17;41,998
abr/21;EMB  0114;203,079;5,634;3.604,35;71,287
abr/21;EMB  0115;281,341;6,435;4.371,71;69,459
abr/21;EMB  0107;342,281;6,967;4.912,59;188,827
abr/21;EMB  0109;348,16;6,221;5.596,47;117,14
abr/21;EMB  0106;317,508;6,502;4.883,08;168,555
mai/21;MAZ  0101;0;0;0;0
mai/21;MAZ  0100;0;0;0;0
mai/21;MAZ  0112;52,264;4,061;1.286,82;5,724
mai/21;MAZ  0114;128,291;4,582;2.799,78;23,009
mai/21;MAZ  0113;175,124;5,561;3.149,01;41,512
mai/21;MAZ  0108;165,029;5,727;2.881,47;37,667
mai/21;MAZ  0111;112,917;3,957;2.853,53;20,723
mai/21;MAZ  0104;104,35;4,793;2.177,00;17,561
mai/21;MAZ  0110;150,723;5,509;2.736,00;20,477
mai/21;MAZ  0103;120,253;4,359;2.758,47;15,901
mai/21;MAZ  0115;139,929;4,589;3.049,52;23,424
mai/21;MAZ  0107;203,895;6,09;3.347,85;79,372
mai/21;MAZ  0102;183,222;4,342;4.219,36;37,441
mai/21;MAZ  0109;358,484;7,883;4.547,70;163,721
mai/21;MAZ  0105;191,929;5,21;3.683,53;36,137
mai/21;MAZ  0106;387,456;7,456;5.196,22;178,171
mai/21;EMB  0101;0;0;0;0
mai/21;EMB  0100;0;0;0;0
mai/21;EMB  0111;39,535;4,439;890,552;1,757
mai/21;EMB  0112;194,449;6,158;3.157,75;25,095
mai/21;EMB  0104;118,117;6,004;1.967,46;16,181
mai/21;EMB  0103;117,356;4,809;2.440,42;24,28
mai/21;EMB  0110;103,608;5,173;2.002,91;18,176
mai/21;EMB  0108;135,091;4,915;2.748,78;34,238
mai/21;EMB  0113;137,48;4,876;2.819,50;47,278
mai/21;EMB  0102;205,878;6,126;3.360,68;66,855
mai/21;EMB  0105;148,697;4,684;3.174,43;47,45
mai/21;EMB  0114;210,651;5,768;3.652,15;73,274
mai/21;EMB  0115;277,366;6,268;4.425,39;70,324
mai/21;EMB  0107;337,079;6,529;5.162,97;206,198
mai/21;EMB  0109;354,876;6,149;5.771,67;121,066
mai/21;EMB  0106;354,669;6,927;5.120,29;181,512
jun/21;MAZ  0101;0;0;0;0
jun/21;MAZ  0100;0;0;0;0
jun/21;MAZ  0112;49,863;4,129;1.207,74;5,094
jun/21;MAZ  0114;118,683;4,605;2.577,11;21,051
jun/21;MAZ  0113;158,325;5,212;3.037,72;40,025
jun/21;MAZ  0108;152,108;5,569;2.731,44;35,75
jun/21;MAZ  0109;345,359;8,506;4.060,34;128,156
jun/21;MAZ  0111;108,586;3,941;2.755,31;19,722
jun/21;MAZ  0104;99,495;4,761;2.089,81;16,608
jun/21;MAZ  0110;138,735;5,392;2.573,11;18,394
jun/21;MAZ  0103;111,77;4,277;2.613,50;14,485
jun/21;MAZ  0115;129,324;4,479;2.887,32;21,553
jun/21;MAZ  0107;186,623;5,891;3.167,99;72,712
jun/21;MAZ  0102;170,278;4,237;4.018,43;34,7
jun/21;MAZ  0105;200,026;5,612;3.564,23;34,772
jun/21;MAZ  0106;357,967;7,246;4.939,91;165,889
jun/21;EMB  0101;0;0;0;0
jun/21;EMB  0100;0;0;0;0
jun/21;EMB  0111;40,146;4,411;910,208;1,889
jun/21;EMB  0112;187,295;6,173;3.033,87;23,557
jun/21;EMB  0104;105,199;5,691;1.848,62;14,531
jun/21;EMB  0103;109,303;4,714;2.318,70;21,88
jun/21;EMB  0110;96,615;4,914;1.966,06;17,515
jun/21;EMB  0108;129,056;4,854;2.658,97;32,653
jun/21;EMB  0113;136,972;4,915;2.787,03;46,276
jun/21;EMB  0102;198,357;6,049;3.279,21;66,551
jun/21;EMB  0105;150,684;5,06;2.977,66;40,3
jun/21;EMB  0114;265,455;7,089;3.744,55;79,879
jun/21;EMB  0115;254,784;6,104;4.174,21;65,33
jun/21;EMB  0107;336,288;6,609;5.088,66;204,418
jun/21;EMB  0109;352,133;6,237;5.645,46;118,29
jun/21;EMB  0106;325,819;6,62;4.921,87;177,199
jul/21;MAZ  0101;0;0;0;0
jul/21;MAZ  0100;0;0;0;0
jul/21;MAZ  0112;48,573;3,981;1.220,07;5,011
jul/21;MAZ  0114;123,81;4,683;2.643,91;21,445
jul/21;MAZ  0113;171,49;5,551;3.089,21;40,72
jul/21;MAZ  0108;159,717;5,722;2.791,16;36,942
jul/21;MAZ  0111;116,746;4,2;2.779,84;19,439
jul/21;MAZ  0104;101,095;4,799;2.106,63;16,639
jul/21;MAZ  0110;141,646;5,369;2.638,38;19,067
jul/21;MAZ  0103;125,48;4,716;2.660,67;14,861
jul/21;MAZ  0115;133,609;4,494;2.973,05;22,682
jul/21;MAZ  0107;198,005;6,067;3.263,78;74,183
jul/21;MAZ  0102;193,472;4,805;4.026,42;33,842
jul/21;MAZ  0109;321,786;7,286;4.416,63;155,103
jul/21;MAZ  0105;183,597;5,163;3.556,08;34,778
jul/21;MAZ  0106;381,416;7,434;5.130,69;179,097
jul/21;EMB  0101;0;0;0;0
jul/21;EMB  0100;0;0;0;0
jul/21;EMB  0111;38,192;4,432;861,794;1,67
jul/21;EMB  0112;185,896;6,125;3.035,23;22,786
jul/21;EMB  0104;106,912;5,628;1.899,76;15,269
jul/21;EMB  0103;117,233;4,971;2.358,28;22,727
jul/21;EMB  0110;98,081;4,957;1.978,54;17,259
jul/21;EMB  0108;136,047;5,01;2.715,42;33,099
jul/21;EMB  0113;135,633;4,949;2.740,68;44,511
jul/21;EMB  0102;203,499;6,265;3.248,42;65,597
jul/21;EMB  0105;143,189;4,656;3.075,25;45,073
jul/21;EMB  0114;201,896;5,724;3.527,18;69,041
jul/21;EMB  0115;256,292;6,099;4.202,47;62,992
jul/21;EMB  0107;332,727;6,537;5.089,59;203,555
jul/21;EMB  0109;371,217;6,485;5.723,95;117,651
jul/21;EMB  0106;329,299;6,468;5.090,83;179,683
ago/21;MAZ  0101;0;0;0;0
ago/21;MAZ  0100;0;0;0;0
ago/21;MAZ  0112;49,519;3,983;1.243,20;5,198
ago/21;MAZ  0114;129,978;4,758;2.731,65;22,781
ago/21;MAZ  0113;172,529;5,397;3.196,79;42,492
ago/21;MAZ  0108;163,282;5,736;2.846,56;37,827
ago/21;MAZ  0111;118,667;4,029;2.945,43;21,703
ago/21;MAZ  0104;101,38;4,695;2.159,50;16,96
ago/21;MAZ  0110;146,258;5,363;2.727,06;19,804
ago/21;MAZ  0103;120,375;4,428;2.718,54;15,179
ago/21;MAZ  0115;139,078;4,476;3.107,41;24,153
ago/21;MAZ  0107;201,967;6,005;3.363,09;79,913
ago/21;MAZ  0102;175,901;4,252;4.137,15;35,947
ago/21;MAZ  0109;329,611;7,304;4.512,87;157,51
ago/21;MAZ  0105;191,318;5,15;3.715,11;35,772
ago/21;MAZ  0106;385,917;7,353;5.248,62;182,685
ago/21;EMB  0101;0;0;0;0
ago/21;EMB  0100;0;0;0;0
ago/21;EMB  0111;38,821;4,452;871,927;1,675
ago/21;EMB  0112;190,035;6,116;3.107,20;24,009
ago/21;EMB  0104;110,894;5,745;1.930,32;15,181
ago/21;EMB  0103;111,822;4,773;2.343,00;22,275
ago/21;EMB  0110;104,024;5,03;2.068,06;19,137
ago/21;EMB  0108;136,317;4,929;2.765,61;33,643
ago/21;EMB  0113;142,926;4,899;2.917,64;50,74
ago/21;EMB  0102;209,88;6,261;3.352,30;67,18
ago/21;EMB  0105;164,86;5,273;3.126,37;43,206
ago/21;EMB  0114;210,381;5,755;3.655,48;71,784
ago/21;EMB  0115;283,357;6,449;4.393,62;68,692
ago/21;EMB  0107;379,729;7,212;5.265,39;208,887
ago/21;EMB  0109;373,815;6,378;5.860,74;123,898
ago/21;EMB  0106;332,533;6,53;5.092,30;179,611
set/21;EMB  0101;0;0;0;0
set/21;EMB  0100;0;0;0;0
set/21;EMB  0111;35,691;4,259;837,956;1,575
set/21;EMB  0112;189,606;6,037;3.140,52;24,812
set/21;EMB  0104;105,533;5,59;1.887,84;14,733
set/21;EMB  0103;109,758;4,788;2.292,17;21,192
set/21;EMB  0110;98,394;4,957;1.985,14;17,862
set/21;EMB  0108;133,735;4,931;2.712,03;35,434
set/21;EMB  0113;134,331;4,804;2.796,21;46,372
set/21;EMB  0102;212,18;6,372;3.329,75;67,673
set/21;EMB  0105;140,87;4,542;3.101,66;45,337
set/21;EMB  0114;211,452;5,872;3.600,82;70,724
set/21;EMB  0115;267,179;6,104;4.377,07;68,895
set/21;EMB  0107;353,292;6,734;5.246,39;219,264
set/21;EMB  0109;372,764;6,45;5.778,99;121,054
set/21;EMB  0106;315,192;6,493;4.854,60;168,034
out/21;EMB  0115;263,373;5,894;4.468,38;69,473
out/21;EMB  0114;213,502;5,804;3.678,52;70,947
out/21;EMB  0113;138,636;4,822;2.874,88;48,033
out/21;EMB  0112;174,667;5,546;3.149,40;22,608
out/21;EMB  0111;40,797;4,649;877,614;1,756
out/21;EMB  0110;103,029;4,645;2.217,95;20,413
out/21;EMB  0109;366,433;6,332;5.786,91;117,024
out/21;EMB  0108;139,687;4,863;2.872,43;37,541
out/21;EMB  0107;366,286;7,063;5.186,21;205,192
out/21;EMB  0106;308,559;6,276;4.916,81;161,786
out/21;EMB  0105;159,216;5,056;3.148,77;42,988
out/21;EMB  0104;104,523;5,635;1.855,03;14,274
out/21;EMB  0103;83,045;4,565;1.819,08;13,796
out/21;EMB  0102;205,491;6,071;3.384,63;67,838
out/21;EMB  0101;0;0;0;0
out/21;EMB  0100;0;0;0;0
out/21;MAZ  0115;137,388;4,342;3.164,32;25,128
out/21;MAZ  0114;129,042;4,815;2.680,17;21,504
out/21;MAZ  0113;159,399;5,142;3.100,10;39,329
out/21;MAZ  0112;48,474;3,937;1.231,19;5,007
out/21;MAZ  0111;125,403;3,919;3.199,68;23,972
out/21;MAZ  0110;133,769;5,349;2.501,04;16,815
out/21;MAZ  0109;329,526;7,192;4.582,12;157,495
out/21;MAZ  0108;164,665;5,746;2.865,73;38,225
out/21;MAZ  0107;190,814;5,848;3.262,67;74,111
out/21;MAZ  0106;375,441;7,189;5.222,11;177,306
out/21;MAZ  0105;191,206;5,19;3.683,97;36,491
out/21;MAZ  0104;101,995;4,673;2.182,78;16,692
out/21;MAZ  0103;114,323;4,209;2.716,35;14,566
out/21;MAZ  0102;179,394;4,287;4.184,40;35,313
out/21;MAZ  0101;0;0;0;0
out/21;MAZ  0100;0;0;0;0
nov/21;EMB  0115;255,994;5,789;4.421,88;67,472
nov/21;EMB  0114;212,792;5,882;3.617,84;69,063
nov/21;EMB  0113;135,713;4,793;2.831,36;46,27
nov/21;EMB  0112;175,882;5,601;3.140,27;22,914
nov/21;EMB  0111;35,802;4,387;816,12;1,531
nov/21;EMB  0110;89,725;4,569;1.963,94;16,282
nov/21;EMB  0109;362,121;6,258;5.786,13;115,932
nov/21;EMB  0108;133,784;4,793;2.791,27;35,399
nov/21;EMB  0107;354,748;6,903;5.139,09;201,726
nov/21;EMB  0106;288,689;6,117;4.719,16;147,682
nov/21;EMB  0105;153,601;4,997;3.073,63;41,143
nov/21;EMB  0104;97,497;5,348;1.822,95;13,421
nov/21;EMB  0103;75,602;4,575;1.652,52;11,765
nov/21;EMB  0102;204,634;6,088;3.361,32;65,253
nov/21;EMB  0101;0;0;0;0
nov/21;EMB  0100;0;0;0;0
nov/21;MAZ  0115;138,535;4,466;3.102,34;23,428
nov/21;MAZ  0114;119,521;4,524;2.641,67;21,012
nov/21;MAZ  0113;160,056;5,176;3.092,46;39,534
nov/21;MAZ  0112;48,911;3,947;1.239,15;5,072
nov/21;MAZ  0111;118,241;3,885;3.043,25;22,017
nov/21;MAZ  0110;145,878;5,376;2.713,47;19,775
nov/21;MAZ  0109;302,791;6,898;4.389,58;145,345
nov/21;MAZ  0108;151,556;5,451;2.780,33;36,107
nov/21;MAZ  0107;184,809;5,739;3.220,00;71,602
nov/21;MAZ  0106;361,884;7,158;5.055,52;167,833
nov/21;MAZ  0105;177,224;4,997;3.546,65;32,628
nov/21;MAZ  0104;98,472;4,564;2.157,74;16,354
nov/21;MAZ  0103;114,525;4,301;2.662,71;14,317
nov/21;MAZ  0102;174,61;4,218;4.139,33;35,248
nov/21;MAZ  0101;0;0;0;0
nov/21;MAZ  0100;0;0;0;0
dez/21;EMB  0115;322,194;6,958;4.630,72;70,879
dez/21;EMB  0114;214,976;5,718;3.759,38;72,155
dez/21;EMB  0113;136,449;4,802;2.841,69;45,44
dez/21;EMB  0112;180,061;5,484;3.283,67;24,122
dez/21;EMB  0111;36,534;4,382;833,635;1,539
dez/21;EMB  0110;99,583;4,624;2.153,42;18,975
dez/21;EMB  0109;353,157;6,045;5.842,06;118,41
dez/21;EMB  0108;139,975;4,835;2.894,90;37,283
dez/21;EMB  0107;371,375;6,959;5.336,29;205,872
dez/21;EMB  0106;296,338;6,127;4.836,33;148,693
dez/21;EMB  0105;162,564;5,073;3.204,45;43,591
dez/21;EMB  0104;100,471;5,385;1.865,85;14,169
dez/21;EMB  0103;82,571;4,566;1.808,21;13,658
dez/21;EMB  0102;213,282;6,162;3.461,07;70,199
dez/21;EMB  0101;0;0;0;0
dez/21;EMB  0100;0;0;0;0
dez/21;MAZ  0115;137,202;4,253;3.226,20;24,856
dez/21;MAZ  0114;127,511;4,619;2.760,30;22,124
dez/21;MAZ  0113;165,517;5,131;3.226,04;41,061
dez/21;MAZ  0112;50,657;3,944;1.284,54;5,386
dez/21;MAZ  0111;123,139;3,899;3.158,30;22,702
dez/21;MAZ  0110;157,616;5,458;2.888,06;21,619
dez/21;MAZ  0109;329,719;7,144;4.615,23;157,475
dez/21;MAZ  0108;155,722;5,45;2.857,19;36,836
dez/21;MAZ  0107;201,362;5,879;3.425,20;80,064
dez/21;MAZ  0106;393,26;7,259;5.417,41;188,302
dez/21;MAZ  0105;213,616;5,651;3.780,34;34,806
dez/21;MAZ  0104;100,306;4,513;2.222,67;16,824
dez/21;MAZ  0103;123,915;4,383;2.827,25;15,682
dez/21;MAZ  0102;187,658;4,231;4.435,42;38,416
dez/21;MAZ  0101;0;0;0;0
dez/21;MAZ  0100;0;0;0;0
jan/22;MAZ  0115;136,18;4,187;3.252,55;25,657
jan/22;MAZ  0114;122,315;4,359;2.806,29;23,355
jan/22;MAZ  0113;169,074;5,122;3.300,77;42,583
jan/22;MAZ  0112;54,633;4,258;1.283,14;5,558
jan/22;MAZ  0111;127,645;3,903;3.270,38;25,075
jan/22;MAZ  0110;160,955;5,47;2.942,37;22,958
jan/22;MAZ  0109;346,742;7,286;4.759,33;168,96
jan/22;MAZ  0108;162,505;5,643;2.879,64;37,95
jan/22;MAZ  0107;219,73;6,018;3.651,32;83,79
jan/22;MAZ  0106;372,314;6,995;5.322,40;182,823
jan/22;MAZ  0105;190,984;5,037;3.791,50;36,816
jan/22;MAZ  0104;98,986;4,423;2.238,08;17,332
jan/22;MAZ  0103;136,038;4,737;2.871,92;16,55
jan/22;MAZ  0102;185,486;4,184;4.433,75;39,097
jan/22;MAZ  0101;0;0;0;0
jan/22;MAZ  0100;0;0;0;0
jan/22;EMB  0115;267,279;5,702;4.687,31;73,728
jan/22;EMB  0114;211,118;5,651;3.736,23;73,267
jan/22;EMB  0113;134,658;4,755;2.831,63;44,242
jan/22;EMB  0112;184,351;5,571;3.309,31;25,331
jan/22;EMB  0111;35,602;4,246;838,512;1,579
jan/22;EMB  0110;91,531;4,445;2.059,26;17,43
jan/22;EMB  0109;372,852;6,287;5.930,86;122,488
jan/22;EMB  0108;140,401;4,734;2.965,73;37,706
jan/22;EMB  0107;363,609;6,742;5.393,60;208,455
jan/22;EMB  0106;289,047;6,009;4.810,41;151,285
jan/22;EMB  0105;154,898;4,957;3.124,87;40,944
jan/22;EMB  0104;98,042;5,173;1.895,37;14,794
jan/22;EMB  0103;73,545;4,289;1.714,85;12,704
jan/22;EMB  0102;210,135;6,079;3.456,68;69,787
jan/22;EMB  0101;0;0;0;0
jan/22;EMB  0100;0;0;0;0
fev/22;MAZ  0115;136,136;4,523;3.010,08;23,096
fev/22;MAZ  0114;122,052;4,77;2.558,98;20,896
fev/22;MAZ  0113;148,837;5,056;2.943,92;37,935
fev/22;MAZ  0112;48,059;4,067;1.181,64;4,876
fev/22;MAZ  0111;119,124;3,951;3.015,41;22,508
fev/22;MAZ  0110;144,73;5,42;2.670,20;20,251
fev/22;MAZ  0109;315,178;7,32;4.305,68;148,896
fev/22;MAZ  0108;155,498;5,712;2.722,09;36,402
fev/22;MAZ  0107;205,893;6,483;3.175,98;74,51
fev/22;MAZ  0106;364,817;7,345;4.967,15;172,76
fev/22;MAZ  0105;189,378;5,48;3.456,06;34,065
fev/22;MAZ  0104;97,744;4,735;2.064,11;15,92
fev/22;MAZ  0103;133,335;4,978;2.678,49;15,715
fev/22;MAZ  0102;175,295;4,262;4.112,61;36,048
fev/22;MAZ  0101;0;0;0;0
fev/22;MAZ  0100;0;0;0;0
fev/22;EMB  0115;277,263;6,256;4.431,75;70,812
fev/22;EMB  0114;237,89;6,93;3.432,70;68,322
fev/22;EMB  0113;130,302;4,854;2.684,28;43,565
fev/22;EMB  0112;178,732;5,887;3.035,86;22,598
fev/22;EMB  0111;34,264;4,385;781,389;1,451
fev/22;EMB  0110;91,342;4,772;1.914,24;15,906
fev/22;EMB  0109;363,402;6,436;5.646,33;120,052
fev/22;EMB  0108;136,999;4,945;2.770,22;37,176
fev/22;EMB  0107;357,988;6,971;5.135,14;218,638
fev/22;EMB  0106;300,911;6,45;4.665,39;156,847
fev/22;EMB  0105;140,971;4,62;3.051,06;44,441
fev/22;EMB  0104;97,034;5,476;1.771,89;13,409
fev/22;EMB  0103;71,192;4,594;1.549,71;10,948
fev/22;EMB  0102;199,857;6,233;3.206,24;63,735
fev/22;EMB  0101;0;0;0;0
fev/22;EMB  0100;0;0;0;0
mar/22;MAZ  0115;145,575;4,271;3.408,52;25,458
mar/22;MAZ  0114;129,391;4,534;2.853,73;20,78
mar/22;MAZ  0113;167,747;5,099;3.289,75;42,175
mar/22;MAZ  0112;51,413;3,866;1.330,03;5,532
mar/22;MAZ  0111;132,496;3,815;3.472,68;26,423
mar/22;MAZ  0110;160,235;5,173;3.097,56;23,001
mar/22;MAZ  0109;331,599;7,218;4.594,21;155,784
mar/22;MAZ  0108;166,617;5,45;3.057,19;41,888
mar/22;MAZ  0107;212,338;5,87;3.617,37;82,781
mar/22;MAZ  0106;399,064;7,44;5.363,68;177,717
mar/22;MAZ  0105;201;5,082;3.955,36;38,012
mar/22;MAZ  0104;103,358;4,452;2.321,79;18,472
mar/22;MAZ  0103;153,137;4,934;3.103,99;17,153
mar/22;MAZ  0102;189,642;4,054;4.677,79;35,445
mar/22;MAZ  0101;0;0;0;0
mar/22;MAZ  0100;0;0;0;0
mar/22;EMB  0115;305,397;6,135;4.978,32;82,901
mar/22;EMB  0114;222,828;5,672;3.928,68;79,599
mar/22;EMB  0113;149,816;4,814;3.112,35;54,531
mar/22;EMB  0112;202,887;5,91;3.433,14;25,95
mar/22;EMB  0111;40,04;4,414;907,032;1,882
mar/22;EMB  0110;114,154;5,053;2.259,19;19,45
mar/22;EMB  0109;428,027;6,593;6.492,15;146,587
mar/22;EMB  0108;154,234;4,906;3.144,05;42,61
mar/22;EMB  0107;416,834;7,192;5.795,74;249,972
mar/22;EMB  0106;329,497;6,345;5.193,35;178,538
mar/22;EMB  0105;171,868;5,031;3.416,03;49,701
mar/22;EMB  0104;101,966;5,149;1.980,14;15,741
mar/22;EMB  0103;73,674;4,267;1.726,76;12,801
mar/22;EMB  0102;216,577;6,057;3.575,86;73,131
mar/22;EMB  0101;0;0;0;0
mar/22;EMB  0100;0;0;0;0
abr/22;MAZ  0115;132,249;4,236;3.122,23;22,733
abr/22;MAZ  0114;148,339;5,594;2.651,54;19,18
abr/22;MAZ  0113;148,645;4,865;3.055,19;37,178
abr/22;MAZ  0112;45,828;3,786;1.210,49;4,708
abr/22;MAZ  0111;128,72;4,1;3.139,55;22,777
abr/22;MAZ  0110;135,777;4,937;2.750,26;19,634
abr/22;MAZ  0109;311,794;7,17;4.348,39;147,252
abr/22;MAZ  0108;152,442;5,361;2.843,32;38,055
abr/22;MAZ  0107;189,655;5,686;3.335,62;73,551
abr/22;MAZ  0106;355,021;7,064;5.025,75;161,291
abr/22;MAZ  0105;184,714;5,138;3.595,22;33,009
abr/22;MAZ  0104;94,565;4,407;2.145,98;16,4
abr/22;MAZ  0103;135,53;4,852;2.793,14;15,233
abr/22;MAZ  0102;169,18;3,995;4.234,56;30,802
